Symbol,Name,Exchange,Latest,Sector,Industry,"9M %Chg"
KVUE,"Kenvue Inc",NYSE,18.81,"Consumer Staples","Consumer Prdts - Misc Staple",+15.81%
L,"Loews Corp",NYSE,112.89,Finance,"Insurance - Multi Line",+12.80%
LDOS,"Leidos Holdings Inc",NYSE,108.33,"Computers and Technology","IT Services",-41.78%
LEN,"Lennar Corp",NYSE,85.52,Construction,"Building - Residential & Comm",-30.28%
LH,"Laboratory Corp of America",NYSE,274.97,Medical,"Medical Services",-2.68%
LHX,"L3Harris Technologies",NYSE,288.46,Aerospace,"Aerospace - Defense",-0.61%
LII,"Lennox International",NYSE,541.53,Construction,"Building Prdcts - Air Heating",+1.98%
LIN,"Linde Plc",NASDAQ,515.96,"Basic Materials","Chemical - Specialty",+14.01%
LITE,"Lumentum Holdings",NASDAQ,746.45,"Computers and Technology","Communications Components",+366.77%
LLY,"Eli Lilly and Company",NYSE,1146,Medical,"Large Cap Pharma",+38.53%
LMT,"Lockheed Martin Corp",NYSE,515.22,Aerospace,"Aerospace - Defense",+2.99%
LNT,"Alliant Energy Corp",NASDAQ,75.13,Utilities,"Utility - Electric Power",+9.88%
LOW,"Lowe's Companies",NYSE,211.15,Retail-Wholesale,"Retail - Home Furniture",-12.89%
LRCX,"Lam Research Corp",NASDAQ,328.83,"Computers and Technology","Electronics - Semiconductors",+123.81%
LULU,"Lululemon Athletica",NASDAQ,117.73,"Consumer Staples","Textile - Apparel",-29.39%
LUV,"Southwest Airlines Company",NYSE,49.39,Transportation,"Transportation - Airline",+46.63%
LVS,"Las Vegas Sands",NYSE,44.65,"Consumer Discretionary",Gaming,-8.89%
LYB,"Lyondellbasell Industries NV",NYSE,57.63,"Basic Materials","Chemical - Diversified",+23.16%
LYV,"Live Nation Entertainment",NYSE,180.88,"Consumer Discretionary","Movie & TV Production & Dist",+16.98%
MA,"Mastercard Inc",NYSE,537.73,"Business Services","Financial Transaction Services",-3.93%
MAA,"Mid-America Apartment Communities",NYSE,132.45,Finance,"REIT - Equity Trust Resident",+0.77%
